OBJECTID,AxeBrue_IDB_merged_140219_Snapped_OBJECTID,AxeBrue_IDB_merged_140219_Snapped_Water_leve,AxeBrue_IDB_merged_140219_Snapped_Grid_ref_,AxeBrue_IDB_merged_140219_Snapped_Owned_by,AxeBrue_IDB_merged_140219_Snapped_Operated_b,AxeBrue_IDB_merged_140219_Snapped_Watercours,AxeBrue_IDB_merged_140219_Snapped_Descriptio,AxeBrue_IDB_merged_140219_Snapped_X,AxeBrue_IDB_merged_140219_Snapped_Y,AxeBrue_IDB_merged_140219_Snapped_Lat,AxeBrue_IDB_merged_140219_Snapped_Long_,AxeBrue_IDB_merged_140219_Snapped_Source,AxeBrue_IDB_merged_140219_Snapped_Enabled,AxeBrue_IDB_merged_140219_Snapped_NEAR_FID,AxeBrue_IDB_merged_140219_Snapped_NEAR_DIST,AxeBrue_IDB_merged_140219_Snapped_NEAR_X,AxeBrue_IDB_merged_140219_Snapped_NEAR_Y,AxeBrue_IDB_merged_140219_Snapped_Dimensions,AxeBrue_IDB_merged_140219_Snapped_FID_1,AxeBrue_IDB_merged_140219_Snapped_Structure,AxeBrue_IDB_merged_140219_Snapped_structure_,AxeBrue_IDB_merged_140219_Snapped_Count_,AxeBrue_IDB_merged_140219_Snapped_AncillaryR,AxeBrue_IDB_merged_140219_Snapped_AncillaryRole,AxeBrue_IDB_merged_140219_Snapped_SnapDist,AxeBrue_IDB_merged_140219_Snapped_ForcedMove,AxeBrue_IDB_merged_140219_Snapped_SnapQual,AxeBrue_IDB_merged_140219_Snapped_SrchName,AxeBrue_IDB_merged_140219_Snapped_Reach,AxeBrueIDB_Sum_Output_OBJECTID,AxeBrueIDB_Sum_Output_FREQUENCY,AxeBrueIDB_Sum_Output_SiteID,DistFromLn,DistAlngLn,USLength,SUM_USLength,AvailDSNet
148,148,,,,,,,339890,142524,,,AxeBrueIDB_structures+N,1,488,60.24875599,339864.0985,142469.6031,,44,C13,Culvert,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,146,5,148,1.09426E-05,0.537531316,53476.87891,8470.936386,45005.94252
240,240,,,,,,,343500,151761,,,AxeBrueIDB_structures+N,1,952,8.525175674,343494.0841,151754.8615,,136,UA20,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,232,1,240,2.55001E-05,0.444653094,59431.88281,22802.35563,36629.52718
420,420,,,,,,,349329,139386,,,AxeBrueIDB_structures+N,1,1090,3.427119303,349325.8147,139387.2646,,316,UB99,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,409,9,420,2.95485E-05,0.695444584,34996.60938,14731.58789,20265.02148
289,289,,,,,,,351305,141146,,,AxeBrueIDB_structures+N,1,510,7.24531911,351306.368,141153.115,,185,UB41,Flap valve,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,280,9,289,0,0.007726596,27910.47852,15534.87857,12375.59995
62,62,Fenny Castle Gauging Station, ,EA,EA,River Sheppey,Gauging station ?,349830,143850,51.191658,-2.7193078,North Drain,1,991,5.343696723,349832.869,143854.5082,Trench sheet dam stop-log structure.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,62,15,62,6.21609E-06,0.672087193,12147.48535,0,12147.48535
302,302,,,,,,,352670,135250,,,AxeBrueIDB_structures+N,1,1092,7.380450417,352665.6855,135244.012,,198,UB54,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,293,11,302,1.52071E-05,0.019413516,14718.28418,2846.558838,11871.72534
346,346,,,,,,,339610,146680,,,AxeBrueIDB_structures+N,1,453,4.196495263,339606.9782,146682.9119,,242,W07,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,335,4,346,1.61623E-05,0.77395165,11383.90527,0,11383.90527
77,77,Totney Drove Inlet No 3, ,EA,EA,River Brue,Penstock,343370,142810,51.181702,-2.811576,North Drain,1,1083,2.641466751,343368.7718,142807.6615,18? culvert with penstock,,,,,,,0,N,"Nearest Polyline, no name check",n/a,11221,77,6,77,5.47251E-05,0.205624238,110188.3828,99334.95941,10853.4234
247,247,,,,,,,343863,151500,,,AxeBrueIDB_structures+N,1,1121,0.390909453,343863.3804,151500.0902,,143,UA27,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,239,1,247,3.83675E-05,0.970278442,8159.476074,0,8159.476074
430,430,,,,,,,333746,143809,,,AxeBrueIDB_structures+N,1,1050,87.76785466,333769.9201,143893.4454,,326,H44 (EA),Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,11221,419,1,430,2.58844E-06,0.426128209,74637.36719,67582.35205,7055.015137
