OBJECTID,AxeBrue_IDB_merged_140219_Snapped_OBJECTID,AxeBrue_IDB_merged_140219_Snapped_Water_leve,AxeBrue_IDB_merged_140219_Snapped_Owned_by,AxeBrue_IDB_merged_140219_Snapped_Operated_b,AxeBrue_IDB_merged_140219_Snapped_Watercours,AxeBrue_IDB_merged_140219_Snapped_Descriptio,AxeBrue_IDB_merged_140219_Snapped_X,AxeBrue_IDB_merged_140219_Snapped_Y,AxeBrue_IDB_merged_140219_Snapped_Lat,AxeBrue_IDB_merged_140219_Snapped_Long_,AxeBrue_IDB_merged_140219_Snapped_Source,AxeBrue_IDB_merged_140219_Snapped_Enabled,AxeBrue_IDB_merged_140219_Snapped_NEAR_FID,AxeBrue_IDB_merged_140219_Snapped_NEAR_DIST,AxeBrue_IDB_merged_140219_Snapped_NEAR_X,AxeBrue_IDB_merged_140219_Snapped_NEAR_Y,AxeBrue_IDB_merged_140219_Snapped_Dimensions,AxeBrue_IDB_merged_140219_Snapped_FID_1,AxeBrue_IDB_merged_140219_Snapped_Structure,AxeBrue_IDB_merged_140219_Snapped_structure_,AxeBrue_IDB_merged_140219_Snapped_Count_,AxeBrue_IDB_merged_140219_Snapped_AncillaryR,AxeBrue_IDB_merged_140219_Snapped_AncillaryRole,AxeBrue_IDB_merged_140219_Snapped_SnapDist,AxeBrue_IDB_merged_140219_Snapped_ForcedMove,AxeBrue_IDB_merged_140219_Snapped_SnapQual,AxeBrue_IDB_merged_140219_Snapped_SrchName,AxeBrueIDB_Sum_Output_OBJECTID,AxeBrueIDB_Sum_Output_FREQUENCY,AxeBrueIDB_Sum_Output_SiteID,DistFromLn,DistAlngLn,SiteID,FREQUENCY,OID_1,Object,SnapDist,ForcedMove,SnapQual,SrchName,US_Accum3,USLength,SUM_USLength,AvailUSNet
308,308,,,,,,354571,132924,,,AxeBrueIDB_structures+N,1,298,0.908811566,354571.0448,132924.9077,,204,UB60,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,299,2,308,6.67903E-06,0.001167098,308,1,,308,0,N,"Nearest Polyline, no name check",n/a,37505.10156,36159.04297,0,36159.04297
328,328,,,,,,354482,133375,,,AxeBrueIDB_structures+N,1,298,0.536477951,354481.4641,133375.0248,,224,UB81,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,317,6,328,4.42112E-06,0.049913999,328,1,,328,0,N,"Nearest Polyline, no name check",n/a,35862.05859,35626.70703,0,35626.70703
228,228,,,,,,350337,146540,,,AxeBrueIDB_structures+N,1,863,1.919004503,350338.6678,146539.0508,,124,UA08,Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,220,1,228,1.0631E-05,0.213783205,228,1,,228,0,N,"Nearest Polyline, no name check",n/a,35536.46484,35474.32813,0,35474.32813
226,226,,,,,,347959,147052,,,AxeBrueIDB_structures+N,1,704,1.720846564,347960.6996,147052.2695,,122,UA06,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,218,1,226,1.23463E-05,0.033001665,226,1,,226,0,N,"Nearest Polyline, no name check",n/a,33281.59375,32791.90625,0,32791.90625
285,285,,,,,,353551,140053,,,AxeBrueIDB_structures+N,1,83,1.787275873,353552.1844,140051.6616,,181,UB37,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,276,1,285,6.63369E-05,0.114509903,285,1,,285,0,N,"Nearest Polyline, no name check",n/a,32609.68359,32117.14844,0,32117.14844
292,292,,,,,,354854,141250,,,AxeBrueIDB_structures+N,1,164,108.8867269,354747.6072,141226.8293,,188,UB44,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,283,1,292,4.62568E-05,0.448252887,292,1,,292,0,N,"Nearest Polyline, no name check",n/a,31409.40234,31046.49609,0,31046.49609
286,286,,,,,,354489,139980,,,AxeBrueIDB_structures+N,1,381,1.277718854,354489.3952,139981.215,,182,UB38,Valve (Inlet),0,,,0,N,"Nearest Polyline, no name check",n/a,277,1,286,3.34849E-05,0.804567873,286,1,,286,0,N,"Nearest Polyline, no name check",n/a,30750.25391,30527.12695,0,30527.12695
298,298,,,,,,354452,140186,,,AxeBrueIDB_structures+N,1,985,1.341338687,354452.2299,140187.3215,,194,UB50,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,289,10,298,9.98222E-06,0.803721964,298,1,,298,0,N,"Nearest Polyline, no name check",n/a,30673.24023,30331.23242,0,30331.23242
311,311,,,,,,349007,137182,,,AxeBrueIDB_structures+N,1,363,0.092334297,349006.9845,137181.909,,207,UB63,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,301,1,311,2.36904E-05,0.981922388,311,1,,311,0,N,"Nearest Polyline, no name check",n/a,29560.51758,29535.49023,0,29535.49023
293,293,,,,,,353645,140724,,,AxeBrueIDB_structures+N,1,445,4.898863061,353644.1592,140719.1738,,189,UB45,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,284,10,293,2.97805E-05,0.259453684,293,1,,293,0,N,"Nearest Polyline, no name check",n/a,30458.9707,29327.26758,0,29327.26758
