OBJECTID_12,OBJECTID,ObjectID_1,Water_leve,Grid_ref_,Owned_by,Operated_b,Watercours,Descriptio,X,Y,Lat,Long_,Source,Enabled,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,Dimensions,FID_1,Structure,structure_,Count_,AncillaryR,AncillaryRole,SnapDist,ForcedMove,SnapQual,SrchName
1,1,1, , ,EA,EA,River Brue,Pair of lifting sluices with tilting crests,333230,146210,0,51.211174,South Drain,1,59,31.96018791,334332.4673,147840.252,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
2,2,2,Highbridge Clyse, ,Private,Private,River Brue,Two vertical lifting gates and two tidal,331350,147240,0,51.220211,South Drain,1,371,157.6444455,330720.7467,146633.6801,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
3,3,3,Gold Corner Pumping Station, ,EA,EA,South Drain,Pumping Station,336720,143040,0,51.183071,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Pumping Station,,,,0.02,N,"Nearest Polyline, no name check",n/a
4,4,4,Shaking Drove Tilting Weir, ,EA,EA,South Drain,Tilting weir and a flap,336800,143170,0,51.184249,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Tilting Weir,,,,0.02,N,"Nearest Polyline, no name check",n/a
5,5,5,Huntspill Sluice, ,EA,EA,Huntspill River,"Two pairs of vertical
lifting gates",329260,145730,0,51.20638,South Drain,1,371,157.6444455,330720.7467,146633.6801,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
6,6,6,Gold Corner Sluice (including Gold Corner Penstocks), ,EA,EA,Huntspill River/ Cripps River,Vertical lifting gate and two penstocks (Culverts and penstocks),336700,143190,0,51.184418,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Unknown,,,,0.02,N,"Nearest Polyline, no name check",n/a
7,7,7,Cripps River Sluice (redundant), ,EA,EA,Cripps River,Vertical lifting gate,336080,145040,0,51.200982,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Unknown,,,,0.02,N,"Nearest Polyline, no name check",n/a
8,8,8,Withy Drove Pumping Station, ,EA,EA,Huntspill River,Pumping Station,332680,144160,0,51.192679,South Drain,1,21,107.2355916,332257.6822,143344.9764,,,,Pumping Station,,,,0,N,"Nearest Polyline, no name check",n/a
9,9,9,Sloway Lane Pumping Station, ,EA,EA,Huntspill River,Pumping Station,330230,145130,0,51.201105,South Drain,1,371,157.6444455,330720.7467,146633.6801,,,,Pumping Station,,,,0,N,"Nearest Polyline, no name check",n/a
10,10,10,West Burtle Rhyne Sluice, ,EA,EA,South Drain Back Ditch,Penstock,337440,142990,0,51.182701,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Penstock,,,,0.02,N,"Nearest Polyline, no name check",n/a
11,11,11,Chilton Railway Sluice (Edington Railway Sluice), ,No data,No data,South Drain Back Ditch,Vertical lift sluice gate,338540,142760,0,51.180753,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Unknown,,,,0.02,N,"Nearest Polyline, no name check",n/a
12,12,12,Decoy Rhyne Sluice, ,EA,EA,Decoy Rhyne,Vertical lift sluice gate,336950,143000,0,51.182737,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Unknown,,,,0.02,N,"Nearest Polyline, no name check",n/a
13,13,13,Decoy Rhyne Tilting Weir, ,Private,Private,Decoy Rhyne,Tilting weir,336950,142930,0,51.182108,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Tilting Weir,,,,0.02,N,"Nearest Polyline, no name check",n/a
14,14,14,Cossington Manor Rhyne, ,EA,EA,South Drain Back Ditch,Tilting weir,337440,142950,0,51.182342,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Tilting Weir,,,,0.02,N,"Nearest Polyline, no name check",n/a
15,15,15,Chilton Cottage Sluice, ,EA,EA,South Drain Back Ditch,Vertical lift sluice gate,338420,142750,0,51.18065,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Unknown,,,,0.02,N,"Nearest Polyline, no name check",n/a
16,16,16,Burtle Rhyne Sluice, ,EA,EA,South Drain Back Ditch,Vertical lift sluice gate,338690,142730,0,51.180499,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Unknown,,,,0.02,N,"Nearest Polyline, no name check",n/a
17,17,17,Chilton Landshire Rhyne Sluice, ,EA,EA,South Drain Back Ditch,Tilting weir,338680,142700,0,51.180228,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Tilting Weir,,,,0.02,N,"Nearest Polyline, no name check",n/a
18,18,18,Catcott Burtle Sluice (Catcott Burtle Tilting Weir), ,EA,EA,South Drain Back Ditch,Tilting weir gate with stop log grooves,340000,142420,0,51.177851,South Drain,1,286,332.6524453,341137.9382,141601.4877,,,,Tilting Weir,,,,0,N,"Nearest Polyline, no name check",n/a
19,19,19,Catcott Heath Sluice, ,EA,EA,South Drain Back Ditch,Vertical lift gate,340030,142320,0,51.176955,South Drain,1,286,332.6524453,341137.9382,141601.4877,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
20,20,20,Long Moor Drove Sluice, ,EA,EA,South Drain Back Ditch,Penstock sluice gate with flap,335960,143300,0,51.185324,South Drain,1,380,185.5158096,334977.4145,143186.2303,,,,Penstock,,,,0,N,"Nearest Polyline, no name check",n/a
21,21,21,Gold Corner Drove Sluice, ,No data,No data,Huntspill Back Ditch,Penning boards,335990,143320,0,51.185507,South Drain,1,380,185.5158096,334977.4145,143186.2303,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
22,22,22,Gold Corner South Sluice, ,EA,EA,Huntspill Back Ditch,Sluice valve,336680,143020,0,51.182887,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Unknown,,,,0.02,N,"Nearest Polyline, no name check",n/a
23,23,23,Whitchey Drove West Sluice, ,EA,EA,Huntspill Back Ditch,Removed sluice and concrete headwall,336690,143000,0,51.182708,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Unknown,,,,0.02,N,"Nearest Polyline, no name check",n/a
24,24,24,Whitchey Drove East Sluice, ,EA,EA,Huntspill Back Ditch,Sluice gate,336720,142980,0,51.182532,South Drain,1,186,36.48691915,337437.794,143744.8228,,,,Unknown,,,,0.02,N,"Nearest Polyline, no name check",n/a
25,25,25,Pyde Drove Sluice, ,EA,EA,Huntspill Back Ditch,Penstock,335640,143260,0,51.184929,South Drain,1,380,185.5158096,334977.4145,143186.2303,,,,Penstock,,,,0,N,"Nearest Polyline, no name check",n/a
26,26,26,Quaking Bridge Sluice, ,EA,EA,Huntspill Back Ditch,Overtopped Sluice,334870,143470,0,51.186729,South Drain,1,380,185.5158096,334977.4145,143186.2303,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
27,27,27,Cold Harbour Bridge Weir, ,EA,EA,River Brue,Fixed weir,347980,140320,0,51.159753,South Drain,1,121,134.4284999,348414.1111,139760.2778,,,,Weir,,,,0,N,"Nearest Polyline, no name check",n/a
28,28,28,Pons Perilis Bridge Weir, ,EA,EA,River Brue,Stone / boulder weir,348700,137770,0,51.136891,South Drain,1,393,58.22701065,346361.5851,137168.4605,,,,Weir,,,,0,N,"Nearest Polyline, no name check",n/a
29,29,29,Clyse Hole Weir/Gauging Station, ,EA,EA,River Brue,Fixed weir,349410,137750,0,51.136774,South Drain,1,315,110.6515653,350556.0007,136164.7715,,,,Weir,,,,0,N,"Nearest Polyline, no name check",n/a
30,30,30,Bankers Hatch, ,EA,EA,River Brue,Penstock,349380,137760,0,51.136861,South Drain,1,315,110.6515653,350556.0007,136164.7715,,,,Penstock,,,,0,N,"Nearest Polyline, no name check",n/a
31,31,31,Throttle Culvert, ,EA,EA,River Brue,Culvert,349340,137770,0,51.136948,South Drain,1,315,110.6515653,350556.0007,136164.7715,,,,Culvert,,,,0,N,"Nearest Polyline, no name check",n/a
32,32,32,Cold Harbour Sluice, ,EA,EA,Glastonbury Millstream,Timer penstock,348060,140330,0,51.15985,South Drain,1,121,134.4284999,348414.1111,139760.2778,,,,Penstock,,,,0,N,"Nearest Polyline, no name check",n/a
33,33,33,North Load Penning Bay (North Load Penning Boards), ,EA,EA,Glastonbury Millstream,Penning Bays,349320,139580,0,51.15322,South Drain,1,121,134.4284999,348414.1111,139760.2778,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
34,34,34,Actis Tunnel, ,EA,EA,EA South Drain,Culvert,349230,137730,0,51.136578,South Drain,1,315,110.6515653,350556.0007,136164.7715,,,,Culvert,,,,0,N,"Nearest Polyline, no name check",n/a
35,35,35,Aqueduct Sluice (Glastonbury Canal Aqueduct Sluice), ,EA,EA,Glastonbury Canal,Culvert,348000,139240,0,51.150044,South Drain,1,121,134.4284999,348414.1111,139760.2778,,,,Culvert,,,,0,N,"Nearest Polyline, no name check",n/a
36,36,36,New Close Balancing Pond, ,County Council,Private,Glastonbury Millstream,Timber penstock,349270,139270,0,51.150428,South Drain,1,121,134.4284999,348414.1111,139760.2778,,,,Penstock,,,,0,N,"Nearest Polyline, no name check",n/a
37,37,37,Chisletts Weir, ,Private,Private,Glastonbury Millstream,Penning Bays,349100,138800,0,51.146187,South Drain,1,121,134.4284999,348414.1111,139760.2778,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
38,38,38,Baileys Sluices, ,Private,Private,Glastonbury Millstream,Culvert,348720,138420,0,51.142737,South Drain,1,121,134.4284999,348414.1111,139760.2778,,,,Culvert,,,,0,N,"Nearest Polyline, no name check",n/a
39,39,39,A39 Culvert, ,Highways,Highways,South Drain,Fixed weir,348620,137490,0,51.134366,South Drain,1,315,110.6515653,350556.0007,136164.7715,,,,Weir,,,,0,N,"Nearest Polyline, no name check",n/a
40,40,40,Manor Farm Weir, ,Riparian Owner,Riparian Owner,River Brue,Fixed weir,345490,141840,0,51.173187,South Drain,1,1136,71.31906066,345830.1158,142025.4692,,,,Weir,,,,0,N,"Nearest Polyline, no name check",n/a
41,41,41,Turnbridge Penning Bay, ,Riparian Owner,Riparian Owner,River Brue,Redundant,346550,141260,0,51.168073,South Drain,1,1136,71.31906066,345830.1158,142025.4692,,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
